original,uniformat,equivalent
Bart L. W. Cockx,Bart L. W. Cockx,"['Bart L. W. Cockx', 'Bart Cockx', 'Cockx, Bart']"
"Lambrecht, Bart",Bart Lambrecht,"['Lambrecht, Bart', 'Lambrecht, Bart M', 'Bart M. Lambrecht', 'Lambrecht, Bart M.']"
Bart Los,Bart Los,"['Bart Los', 'Los, Bart']"
"Minten, Bart",Bart Minten,"['Minten, Bart']"
"Nooteboom, Bart",Bart Nooteboom,"['Nooteboom, Bart']"
Bart Smeulders,Bart Smeulders,['Bart Smeulders']
"Verspagen, Bart",Bart Verspagen,"['Verspagen, Bart']"
"Yueshen, Bart Zhou",Bart Zhou Yueshen,"['Yueshen, Bart Zhou']"
Bart van Ark,Bart van Ark,['Bart van Ark']
BartJ. Wilson,BartJ. Wilson,['BartJ. Wilson']
Barth Landheer,Barth Landheer,['Barth Landheer']
Barthelemy Kuate Defo,Barthelemy Kuate Defo,['Barthelemy Kuate Defo']
Bartley R. Danielsen,Bartley R. Danielsen,['Bartley R. Danielsen']
Barton A. Smith,Barton A. Smith,"['Barton A. Smith', 'Smith, Barton A']"
"Hamilton, Barton H.",Barton H. Hamilton,"['Hamilton, Barton H.', 'Hamilton, Barton H', 'Hamilton, Barton', 'Barton H. Hamilton']"
"Lipman, Barton L.",Barton L. Lipman,"['Lipman, Barton L.', 'Barton L Lipman', 'Lipman, Barton L', 'Barton L. Lipman']"
"Mark Bagnoli, Barton L. Lipman",Barton L. Lipman Mark Bagnoli,"['Mark Bagnoli, Barton L. Lipman']"
"Gębka, Bartosz",Bartosz Gębka,"['Gębka, Bartosz']"
Bartosz Mackowiak,Bartosz Mackowiak,"['Bartosz Mackowiak', 'Mackowiak, Bartosz']"
"Maćkowiak, Bartosz",Bartosz Maćkowiak,"['Maćkowiak, Bartosz', 'Bartosz Maćkowiak']"
"Gliksberg, Baruch",Baruch Gliksberg,"['Gliksberg, Baruch']"
"Lev, Baruch",Baruch Lev,"['Lev, Baruch', 'Baruch Lev']"
"Ata, Barış",Barış Ata,"['Ata, Barış']"
Barış K. Yörük,Barış K. Yörük,['Barış K. Yörük']
"Kaymak, Barış",Barış Kaymak,"['Kaymak, Barış']"
Bas J.M. Werker,Bas J.M. Werker,"['Bas J.M. Werker', 'Werker, Bas J. M.', 'Werker, Bas J.M.', 'Werker, Bas', 'Bas J. M. Werker']"
Bas Jacobs,Bas Jacobs,"['Bas Jacobs', 'Jacobs, Bas']"
"ter Weel, Bas",Bas ter Weel,"['ter Weel, Bas', 'Bas Weel']"
"van Groezen, Bas",Bas van Groezen,"['van Groezen, Bas']"
Bas van der Klaauw,Bas van der Klaauw,"['Bas van der Klaauw', 'Bas Klaauw', 'van der Klaauw, Bas']"
"Akbel, Basak",Basak Akbel,"['Akbel, Basak']"
"Kapur, Basant K.",Basant K. Kapur,"['Kapur, Basant K.', 'Basant K. Kapur', 'Kapur, Basant K']"
"Pradhan, Basanta K.",Basanta K. Pradhan,"['Pradhan, Basanta K.', 'Pradhan, B. K.']"
"Kalymon, Basil A.",Basil A. Kalymon,"['Kalymon, Basil A.']"
"Copeland, Basil L, Jr",Basil L Copeland,"['Copeland, Basil L, Jr']"
Basit Zafar,Basit Zafar,"['Basit Zafar', 'Zafar, Basit']"
"Fattouh, Bassam",Bassam Fattouh,"['Fattouh, Bassam']"
Bastiaan Oud,Bastiaan Oud,['Bastiaan Oud']
"Gribisch, Bastian",Bastian Gribisch,"['Gribisch, Bastian']"
"Biswas, Basudeb",Basudeb Biswas,"['Biswas, Basudeb']"
"Pilo, Batia",Batia Pilo,"['Pilo, Batia']"
"Doğan, Battal",Battal Doğan,"['Doğan, Battal', 'Battal Doğan']"
"Severgnini, Battista",Battista Severgnini,"['Severgnini, Battista']"
"Visser, Bauke",Bauke Visser,"['Visser, Bauke', 'Bauke Visser']"
"Karacaovali, Baybars",Baybars Karacaovali,"['Karacaovali, Baybars']"
Beardsley Ruml,Beardsley Ruml,['Beardsley Ruml']
"Javorcik, Beata S.",Beata S. Javorcik,"['Javorcik, Beata S.', 'Beata Smarzynska Javorcik', 'Beata Javorcik', 'Smarzynska Javorcik, Beata', 'Javorcik, Beata', 'Javorcik, Beata Smarzynska', 'Beata S. Javorcik']"
BeataS. Javorcik,BeataS. Javorcik,['BeataS. Javorcik']
"Boehmer, Beatrice",Beatrice Boehmer,"['Boehmer, Beatrice']"
Beatrice Cherrier,Beatrice Cherrier,['Beatrice Cherrier']
Beatrice G. Reubens,Beatrice G. Reubens,['Beatrice G. Reubens']
"Vaccara, Beatrice N",Beatrice N Vaccara,"['Vaccara, Beatrice N']"
"Pataracchia, Beatrice",Beatrice Pataracchia,"['Pataracchia, Beatrice']"
"Petrovich, Beatrice",Beatrice Petrovich,"['Petrovich, Beatrice']"
"Venturi, Beatrice",Beatrice Venturi,"['Venturi, Beatrice']"
Beatrice Weder,Beatrice Weder,"['Beatrice Weder', 'Weder, Beatrice']"
Beatrix Eugster,Beatrix Eugster,['Beatrix Eugster']
"Paal, Beatrix",Beatrix Paal,"['Paal, Beatrix']"
"De Aghion, Beatriz Armendariz",Beatriz Armendariz De Aghion,"['De Aghion, Beatriz Armendariz', 'de Aghion, Beatriz Armendariz', 'Armendariz de Aghion, Beatriz']"
"Balbás, Beatriz",Beatriz Balbás,"['Balbás, Beatriz']"
"Mariano, Beatriz",Beatriz Mariano,"['Mariano, Beatriz']"
"Zurita, Beatriz",Beatriz Zurita,"['Zurita, Beatriz']"
Beatriz de Blas,Beatriz de Blas,['Beatriz de Blas']
Beck A. Taylor,Beck A. Taylor,['Beck A. Taylor']
Bee Yan Aw,Bee Yan Aw,"['Bee Yan Aw', 'Aw, Bee Yan']"
"Aw, Bee-Yan",Bee-Yan Aw,"['Aw, Bee-Yan', 'Aw, B. -Y.']"
"Chen, Been-Lon",Been-Lon Chen,"['Chen, Been-Lon']"
"Dominguez, Begona",Begona Dominguez,"['Dominguez, Begona']"
"Domínguez, Begoña",Begoña Domínguez,"['Domínguez, Begoña']"
"Diba, Behzad",Behzad Diba,"['Diba, Behzad', 'Diba, Behzad T.', 'Behzad T. Diba', 'Diba, Behzad T', 'Behzad Diba']"
Behzad Nouri,Behzad Nouri,['Behzad Nouri']
"Li, Bei",Bei Li,"['Li, Bei']"
Bei Qin,Bei Qin,['Bei Qin']
Bela Balassa,Bela Balassa,"['Bela Balassa', 'Balassa, Bela', 'Bela A. Balassa']"
"Bollobas, Bela",Bela Bollobas,"['Bollobas, Bela']"
"Gold, Bela",Bela Gold,"['Gold, Bela']"
"Martos, Bela",Bela Martos,"['Martos, Bela']"
"Jerez, Belen",Belen Jerez,"['Jerez, Belen']"
"Villalonga, Belen",Belen Villalonga,"['Villalonga, Belen']"
"Turan, Belgi",Belgi Turan,"['Turan, Belgi']"
Belinda Archibong,Belinda Archibong,['Belinda Archibong']
"Martin, Belinda",Belinda Martin,"['Martin, Belinda']"
"Mucklow, Belinda",Belinda Mucklow,"['Mucklow, Belinda']"
"Balassa, Bella",Bella Balassa,"['Balassa, Bella']"
Belton M. Fleisher,Belton M. Fleisher,"['Belton M. Fleisher', 'Fleisher, Belton M.', 'Fleisher, Belton M', 'Fleisher, Belton']"
BelÃ©n Jerez,BelÃ©n Jerez,['BelÃ©n Jerez']
"Jerez, Belén",Belén Jerez,"['Jerez, Belén']"
"Nieto, Belén",Belén Nieto,"['Nieto, Belén']"
Belén Villalonga,Belén Villalonga,['Belén Villalonga']
"Eden, Bemjamin",Bemjamin Eden,"['Eden, Bemjamin']"
"Amoako-Adu, Ben",Ben Amoako-Adu,"['Amoako-Adu, Ben']"
Ben B. Sutton,Ben B. Sutton,['Ben B. Sutton']
Ben Bernanke,Ben Bernanke,"['Ben Bernanke', 'Bernanke, Ben', 'Ben S. Bernanke', 'Bernanke, Ben S.', 'Bernanke, Ben S']"
"Bode, Ben",Ben Bode,"['Bode, Ben']"
"Branch, Ben",Ben Branch,"['Branch, Ben']"
"Broadbent, Ben",Ben Broadbent,"['Broadbent, Ben']"
"Cooper, Ben",Ben Cooper,"['Cooper, Ben']"
Ben D'Exelle,Ben D'Exelle,"[""Ben D'Exelle""]"
Ben D. Peletier,Ben D. Peletier,['Ben D. Peletier']
"Laden, Ben E",Ben E Laden,"['Laden, Ben E']"
Ben Etheridge,Ben Etheridge,"['Ben Etheridge', 'Etheridge, Ben']"
"Hunt, Ben F.",Ben F. Hunt,"['Hunt, Ben F.']"
"Fine, Ben",Ben Fine,"['Fine, Ben', 'B. Fine']"
"Gillen, Ben",Ben Gillen,"['Gillen, Ben']"
"Godridge, Ben",Ben Godridge,"['Godridge, Ben']"
"Greiner, Ben",Ben Greiner,"['Greiner, Ben', 'Ben Greiner']"
Ben Groom,Ben Groom,['Ben Groom']
Ben Handel,Ben Handel,['Ben Handel']
"Heijdra, Ben J.",Ben J. Heijdra,"['Heijdra, Ben J.', 'Heijdra, Ben J']"
"Sopranzetti, Ben J.",Ben J. Sopranzetti,"['Sopranzetti, Ben J.', 'Ben Sopranzetti']"
"Jacobsen, Ben",Ben Jacobsen,"['Jacobsen, Ben', 'Ben Jacobsen']"
"Lockwood, Ben",Ben Lockwood,"['Lockwood, Ben', 'Lockwood, B.', 'Ben Lockwood']"
Ben McQuillin,Ben McQuillin,"['Ben McQuillin', 'McQuillin, Ben']"
"Klotz, Ben P",Ben P Klotz,"['Klotz, Ben P']"
"Polak, Ben",Ben Polak,"['Polak, Ben', 'Ben Polak']"
"Craig, Ben R.",Ben R. Craig,"['Craig, Ben R.', 'Ben Craig', 'Craig, Ben']"
Ben R. Marshall,Ben R. Marshall,"['Ben R. Marshall', 'Marshall, Ben R.']"
Ben Rickayzen,Ben Rickayzen,['Ben Rickayzen']
"Meiselman, Ben S.",Ben S. Meiselman,"['Meiselman, Ben S.']"
"Fung, Ben Siu-cheong",Ben Siu-cheong Fung,"['Fung, Ben Siu-cheong']"
"Smith, Ben",Ben Smith,"['Smith, Ben']"
"Tomlin, Ben",Ben Tomlin,"['Tomlin, Ben']"
Ben Vollaard,Ben Vollaard,['Ben Vollaard']
"Lewis, Ben W",Ben W Lewis,"['Lewis, Ben W', 'Ben W. Lewis']"
Ben Wilsman Bolch,Ben Wilsman Bolch,"['Ben Wilsman Bolch', 'Bolch, Ben W']"
"Schreiber, Ben Z.",Ben Z. Schreiber,"['Schreiber, Ben Z.']"
"Zehnwirth, Ben",Ben Zehnwirth,"['Zehnwirth, Ben']"
"Zilberfarb, Ben Zion",Ben Zion Zilberfarb,"['Zilberfarb, Ben Zion']"
"Zissimos, Ben",Ben Zissimos,"['Zissimos, Ben']"
Ben Zou,Ben Zou,['Ben Zou']
"van Velthoven, Ben",Ben van Velthoven,"['van Velthoven, Ben']"
Ben-Porath Elchanan,Ben-Porath Elchanan,['Ben-Porath Elchanan']
Ben-Zion Zilberfarb,Ben-Zion Zilberfarb,"['Ben-Zion Zilberfarb', 'Zilberfarb, Ben-Zion']"
"Liu, Ben-chieh",Ben-chieh Liu,"['Liu, Ben-chieh']"
Benabou Roland,Benabou Roland,['Benabou Roland']
Bencivenga Valerie R.,Bencivenga Valerie R.,['Bencivenga Valerie R.']
"Gui, Benedetto",Benedetto Gui,"['Gui, Benedetto']"
"Alziary, Benedicte",Benedicte Alziary,"['Alziary, Benedicte']"
"de la Briere, Benedicte",Benedicte de la Briere,"['de la Briere, Benedicte']"
"Franke, Benedikt",Benedikt Franke,"['Franke, Benedikt']"
"Goderis, Benedikt",Benedikt Goderis,"['Goderis, Benedikt']"
Benedikt Heid,Benedikt Heid,"['Benedikt Heid', 'Heid, Benedikt']"
Benedikt Herrmann,Benedikt Herrmann,"['Benedikt Herrmann', 'Herrmann, Benedikt']"
Benedikt M. Poetscher,Benedikt M. Poetscher,['Benedikt M. Poetscher']
"Potscher, Benedikt M.",Benedikt M. Potscher,"['Potscher, Benedikt M.', 'Potscher, Benedikt M']"
"Mihm, Benedikt",Benedikt Mihm,"['Mihm, Benedikt']"
"Ruprecht, Benedikt",Benedikt Ruprecht,"['Ruprecht, Benedikt']"
"Chong, Beng Soon",Beng Soon Chong,"['Chong, Beng Soon']"
"Chong, Beng-Soon",Beng-Soon Chong,"['Chong, Beng-Soon']"
"Hansson, Bengt",Bengt Hansson,"['Hansson, Bengt']"
"Holmstrom, Bengt",Bengt Holmstrom,"['Holmstrom, Bengt', 'Bengt Holmstrom']"
Bengt Holmström,Bengt Holmström,['Bengt Holmström']
"Muthen, Bengt",Bengt Muthen,"['Muthen, Bengt']"
"Ysander, Bengt-Christer",Bengt-Christer Ysander,"['Ysander, Bengt-Christer']"
Benhabib Jess,Benhabib Jess,['Benhabib Jess']
Benito Arruñada,Benito Arruñada,['Benito Arruñada']
"Okner, Benjamin A",Benjamin A Okner,"['Okner, Benjamin A']"
"Malin, Benjamin A.",Benjamin A. Malin,"['Malin, Benjamin A.', 'Benjamin A. Malin']"
Benjamin A. Olken,Benjamin A. Olken,"['Benjamin A. Olken', 'Olken, Benjamin A.']"
Benjamin B. Lockwood,Benjamin B. Lockwood,"['Benjamin B. Lockwood', 'Lockwood, Benjamin B.']"
"Balsmeier, Benjamin",Benjamin Balsmeier,"['Balsmeier, Benjamin']"
"Bennett, Benjamin",Benjamin Bennett,"['Bennett, Benjamin']"
"Bental, Benjamin",Benjamin Bental,"['Bental, Benjamin']"
"Bittschi, Benjamin",Benjamin Bittschi,"['Bittschi, Benjamin']"
Benjamin Born,Benjamin Born,"['Benjamin Born', 'Born, Benjamin']"
Benjamin Brooks,Benjamin Brooks,['Benjamin Brooks']
Benjamin Bushong,Benjamin Bushong,['Benjamin Bushong']
Benjamin C. Ayers,Benjamin C. Ayers,['Benjamin C. Ayers']
Benjamin Caplan,Benjamin Caplan,['Benjamin Caplan']
Benjamin Cerf,Benjamin Cerf,['Benjamin Cerf']
"Chabot, Benjamin",Benjamin Chabot,"['Chabot, Benjamin']"
"Chinitz, Benjamin",Benjamin Chinitz,"['Chinitz, Benjamin']"
Benjamin Chiquoine,Benjamin Chiquoine,['Benjamin Chiquoine']
Benjamin Conlee,Benjamin Conlee,['Benjamin Conlee']
"Croitoru, Benjamin",Benjamin Croitoru,"['Croitoru, Benjamin']"
Benjamin Crost,Benjamin Crost,"['Benjamin Crost', 'Crost, Benjamin']"
"Keen, Benjamin D.",Benjamin D. Keen,"['Keen, Benjamin D.']"
Benjamin D. Nelson,Benjamin D. Nelson,"['Benjamin D. Nelson', 'Nelson, Benjamin']"
"Sommers, Benjamin D.",Benjamin D. Sommers,"['Sommers, Benjamin D.']"
Benjamin Dawson,Benjamin Dawson,['Benjamin Dawson']
Benjamin E. Hermalin,Benjamin E. Hermalin,"['Benjamin E. Hermalin', 'Hermalin, Benjamin E', 'Hermalin, Benjamin E.']"
Benjamin Edelman,Benjamin Edelman,['Benjamin Edelman']
"Eden, Benjamin",Benjamin Eden,"['Eden, Benjamin', 'Benjamin Eden']"
"Elsner, Benjamin",Benjamin Elsner,"['Elsner, Benjamin', 'Benjamin Elsner']"
"Enke, Benjamin",Benjamin Enke,"['Enke, Benjamin']"
"Esty, Benjamin",Benjamin Esty,"['Esty, Benjamin', 'Esty, Benjamin C.']"
Benjamin F. Jones,Benjamin F. Jones,['Benjamin F. Jones']
Benjamin Faber,Benjamin Faber,['Benjamin Faber']
Benjamin Feigenberg,Benjamin Feigenberg,['Benjamin Feigenberg']
"Fuchs, Benjamin",Benjamin Fuchs,"['Fuchs, Benjamin']"
Benjamin Golez,Benjamin Golez,"['Benjamin Golez', 'Golez, Benjamin']"
Benjamin Golub,Benjamin Golub,['Benjamin Golub']
"Gomes-Casseres, Benjamin",Benjamin Gomes-Casseres,"['Gomes-Casseres, Benjamin']"
Benjamin Graham,Benjamin Graham,['Benjamin Graham']
"Stevens, Benjamin H",Benjamin H Stevens,"['Stevens, Benjamin H']"
"Cohen, Benjamin H.",Benjamin H. Cohen,"['Cohen, Benjamin H.']"
Benjamin H. Harris,Benjamin H. Harris,['Benjamin H. Harris']
"Liebman, Benjamin H.",Benjamin H. Liebman,"['Liebman, Benjamin H.']"
Benjamin Hansen,Benjamin Hansen,['Benjamin Hansen']
Benjamin Higgins,Benjamin Higgins,['Benjamin Higgins']
Benjamin Hébert,Benjamin Hébert,['Benjamin Hébert']
Benjamin I. Cohen,Benjamin I. Cohen,"['Benjamin I. Cohen', 'Cohen, Benjamin I']"
"Iverson, Benjamin",Benjamin Iverson,"['Iverson, Benjamin']"
"Allen, Benjamin J",Benjamin J Allen,"['Allen, Benjamin J']"
Benjamin J. Burton,Benjamin J. Burton,['Benjamin J. Burton']
"Cohen, Benjamin J.",Benjamin J. Cohen,"['Cohen, Benjamin J.', 'Benjamin J. Cohen']"
Benjamin J. Gillen,Benjamin J. Gillen,['Benjamin J. Gillen']
Benjamin J. Keys,Benjamin J. Keys,"['Benjamin J. Keys', 'Keys, Benjamin J.']"
"Jung, Benjamin",Benjamin Jung,"['Jung, Benjamin']"
"Johannsen, Benjamin K.",Benjamin K. Johannsen,"['Johannsen, Benjamin K.', 'Benjamin K. Johannsen']"
"Stephens, Benjamin K.",Benjamin K. Stephens,"['Stephens, Benjamin K.']"
"King, Benjamin",Benjamin King,"['King, Benjamin', 'B. W. King']"
"Klaus, Benjamin",Benjamin Klaus,"['Klaus, Benjamin']"
Benjamin Klein,Benjamin Klein,"['Benjamin Klein', 'Klein, Benjamin']"
Benjamin L. Castleman,Benjamin L. Castleman,['Benjamin L. Castleman']
Benjamin Lester,Benjamin Lester,"['Benjamin Lester', 'Lester, Benjamin']"
Benjamin Loos,Benjamin Loos,['Benjamin Loos']
Benjamin M. Anderson,Benjamin M. Anderson,"['Benjamin M. Anderson', 'Anderson, B. D. O.', 'B. M. Anderson']"
"Blau, Benjamin M.",Benjamin M. Blau,"['Blau, Benjamin M.']"
Benjamin M. Friedman,Benjamin M. Friedman,"['Benjamin M. Friedman', 'Friedman, Benjamin M', 'Friedman, Benjamin M.']"
"Marx, Benjamin M.",Benjamin M. Marx,"['Marx, Benjamin M.', 'Benjamin Marx']"
Benjamin M. Perles,Benjamin M. Perles,['Benjamin M. Perles']
Benjamin M. Sand,Benjamin M. Sand,"['Benjamin M. Sand', 'Benjamin Sand']"
Benjamin M. Squires,Benjamin M. Squires,['Benjamin M. Squires']
"Tabak, Benjamin M.",Benjamin M. Tabak,"['Tabak, Benjamin M.']"
"Maat, Benjamin",Benjamin Maat,"['Maat, Benjamin']"
"Maury, Benjamin",Benjamin Maury,"['Maury, Benjamin']"
"Mills, Benjamin",Benjamin Mills,"['Mills, Benjamin']"
Benjamin Moll,Benjamin Moll,['Benjamin Moll']
"Müller, Benjamin",Benjamin Müller,"['Müller, Benjamin']"
"Dennis, Benjamin N.",Benjamin N. Dennis,"['Dennis, Benjamin N.']"
Benjamin N. Roin,Benjamin N. Roin,['Benjamin N. Roin']
"Klotz, Benjamin P",Benjamin P Klotz,"['Klotz, Benjamin P']"
Benjamin Pugsley,Benjamin Pugsley,"['Benjamin Pugsley', 'Pugsley, Benjamin', 'Benjamin Wild Pugsley']"
"Bridgman, Benjamin R.",Benjamin R. Bridgman,"['Bridgman, Benjamin R.', 'Bridgman, Benjamin']"
"Handel, Benjamin R.",Benjamin R. Handel,"['Handel, Benjamin R.', 'Benjamin R. Handel', 'Benjamin Handel']"
Benjamin R. Mandel,Benjamin R. Mandel,"['Benjamin R. Mandel', 'Benjamin Mandel']"
"Page, Benjamin R.",Benjamin R. Page,"['Page, Benjamin R.', 'Benjamin R. Page']"
"Russo, Benjamin",Benjamin Russo,"['Russo, Benjamin']"
"Cheng, Benjamin S",Benjamin S Cheng,"['Cheng, Benjamin S']"
Benjamin S. Wilner,Benjamin S. Wilner,['Benjamin S. Wilner']
Benjamin Scuderi,Benjamin Scuderi,['Benjamin Scuderi']
Benjamin Sexauer,Benjamin Sexauer,['Benjamin Sexauer']
Benjamin Stocker,Benjamin Stocker,['Benjamin Stocker']
"Tabb, Benjamin",Benjamin Tabb,"['Tabb, Benjamin']"
"Toh, Benjamin",Benjamin Toh,"['Toh, Benjamin']"
"Van Roy, Benjamin",Benjamin Van Roy,"['Van Roy, Benjamin', 'Benjamin Van Roy', 'Roy, Benjamin Van']"
Benjamin W. Bahney,Benjamin W. Bahney,['Benjamin W. Bahney']
Benjamin W. Cowan,Benjamin W. Cowan,['Benjamin W. Cowan']
Benjamin Ward,Benjamin Ward,"['Benjamin Ward', 'Ward, Benjamin']"
"Wolkowitz, Benjamin",Benjamin Wolkowitz,"['Wolkowitz, Benjamin']"
Benjamin Yibin Zhang,Benjamin Yibin Zhang,['Benjamin Yibin Zhang']
BenjaminR. Chabot,BenjaminR. Chabot,['BenjaminR. Chabot']
Benjamín Villena‐Roldán,Benjamín Villena‐Roldán,['Benjamín Villena‐Roldán']
Benn Eifert,Benn Eifert,['Benn Eifert']
"Mccallum, Bennet T.",Bennet T. Mccallum,"['Mccallum, Bennet T.']"
"Harrison, Bennett",Bennett Harrison,"['Harrison, Bennett']"
Bennett S. White,Bennett S. White,['Bennett S. White']
"Buehler, Benno",Benno Buehler,"['Buehler, Benno']"
Benno J. Ndulu,Benno J. Ndulu,['Benno J. Ndulu']
"Torgler, Benno",Benno Torgler,"['Torgler, Benno', 'Benno Torgler']"
"Bowers, Benny D",Benny D Bowers,"['Bowers, Benny D']"
Benny Geys,Benny Geys,"['Benny Geys', 'Geys, Benny']"
"Moldovanu, Benny",Benny Moldovanu,"['Moldovanu, Benny', 'Benny Moldovanu']"
"Julien, BenoI^t",BenoI^t Julien,"['Julien, BenoI^t']"
"Decerf, Benoit",Benoit Decerf,"['Decerf, Benoit']"
"Deschamps, Benoit",Benoit Deschamps,"['Deschamps, Benoit']"
"Detollenaere, Benoit",Benoit Detollenaere,"['Detollenaere, Benoit']"
Benoit Freyens,Benoit Freyens,['Benoit Freyens']
Benoit Laplante,Benoit Laplante,['Benoit Laplante']
Benoit Mandelbrot,Benoit Mandelbrot,"['Benoit Mandelbrot', 'Mandelbrot, Benoit B']"
"Mojon, Benoit",Benoit Mojon,"['Mojon, Benoit', 'Benoit Mojon']"
"Perron, Benoit",Benoit Perron,"['Perron, Benoit', 'Benoit Perron', 'Perron, B.']"
"Quenneville, Benoit",Benoit Quenneville,"['Quenneville, Benoit']"
"Robidoux, Benoit",Benoit Robidoux,"['Robidoux, Benoit']"
"Julien, Benoît",Benoît Julien,"['Julien, Benoît']"
"Le Maux, Benoît",Benoît Le Maux,"['Le Maux, Benoît']"
"Mojon, Benoît",Benoît Mojon,"['Mojon, Benoît', 'Benoît Mojon']"
Benoît Mulkay,Benoît Mulkay,['Benoît Mulkay']
Benoît Nguyen,Benoît Nguyen,['Benoît Nguyen']
"Perron, Benoît",Benoît Perron,"['Perron, Benoît']"
"Crutzen, Benoît S.Y.",Benoît S.Y. Crutzen,"['Crutzen, Benoît S.Y.']"
Benson Soffer,Benson Soffer,['Benson Soffer']
"Sorensen, Bent E",Bent E Sorensen,"['Sorensen, Bent E', 'Sorensen, Bent E.', 'Sorensen, Bent']"
Bent E. Serensen,Bent E. Serensen,['Bent E. Serensen']
Bent E. Sørensen,Bent E. Sørensen,"['Bent E. Sørensen', 'Sørensen, Bent E.', 'Bent E Sørensen']"
"Hansen, Bent",Bent Hansen,"['Hansen, Bent', 'B. Hansen', 'Bent Hansen']"
"Christensen, Bent Jesper",Bent Jesper Christensen,"['Christensen, Bent Jesper', 'Bent Jesper Christensen', 'Christensen, B. J.']"
Bent Nielsen,Bent Nielsen,"['Bent Nielsen', 'Nielsen, Bent']"
"Vale, Bent",Bent Vale,"['Vale, Bent']"
"Zou, Benteng",Benteng Zou,"['Zou, Benteng']"
Bentley Coffey,Bentley Coffey,['Bentley Coffey']
Bentley W. MacLeod,Bentley W. MacLeod,['Bentley W. MacLeod']
"Gup, Benton E.",Benton E. Gup,"['Gup, Benton E.', 'Gup, Benton E']"
"Massell, Benton F.",Benton F. Massell,"['Massell, Benton F.', 'Massell, Benton F', 'Benton F. Massell', 'B. F. Massell']"
"Bidani, Benu",Benu Bidani,"['Bidani, Benu']"
"Shitovitz, Benyamin",Benyamin Shitovitz,"['Shitovitz, Benyamin', 'Shitovitz, B.']"
"Zilberfarb, Benzion",Benzion Zilberfarb,"['Zilberfarb, Benzion']"
"Lee, Beom S.",Beom S. Lee,"['Lee, Beom S.']"
"So, Beong Soo",Beong Soo So,"['So, Beong Soo']"
"Cesi, Berardino",Berardino Cesi,"['Cesi, Berardino']"
"Palazzo, Berardino",Berardino Palazzo,"['Palazzo, Berardino', 'Berardino Palazzo']"
"Kramer, Berber",Berber Kramer,"['Kramer, Berber']"
"Kebede, Bereket",Bereket Kebede,"['Kebede, Bereket']"
Bergin James,Bergin James,['Bergin James']
"Barkbu, Bergljot",Bergljot Barkbu,"['Barkbu, Bergljot']"
"Sensoy, Berk A.",Berk A. Sensoy,"['Sensoy, Berk A.', 'Berk A. Sensoy']"
Berk Jonathan B.,Berk Jonathan B.,['Berk Jonathan B.']
"Ozler, Berk",Berk Ozler,"['Ozler, Berk']"
"Özler, Berk",Berk Özler,"['Özler, Berk', 'Berk Özler']"
"Özcan, Berkay",Berkay Özcan,"['Özcan, Berkay']"
Berkeley S. Clemhout,Berkeley S. Clemhout,['Berkeley S. Clemhout']
Berkowitz Daniel,Berkowitz Daniel,['Berkowitz Daniel']
"Demiralp, Berna",Berna Demiralp,"['Demiralp, Berna']"
"Minton, Bernadette A.",Bernadette A. Minton,"['Minton, Bernadette A.', 'Bernadette A. Minton', 'Minton, Bernadette A']"
"Govaerts, Bernadette",Bernadette Govaerts,"['Govaerts, Bernadette']"
Bernard A. Weisberger,Bernard A. Weisberger,['Bernard A. Weisberger']
"Bensaid, Bernard",Bernard Bensaid,"['Bensaid, Bernard']"
"Black, Bernard",Bernard Black,"['Black, Bernard', 'Black, Bernard S.']"
"Cornet, Bernard",Bernard Cornet,"['Cornet, Bernard']"
"Nossiter, Bernard D",Bernard D Nossiter,"['Nossiter, Bernard D']"
Bernard D. Weinryb,Bernard D. Weinryb,['Bernard D. Weinryb']
"Decaluwe, Bernard",Bernard Decaluwe,"['Decaluwe, Bernard']"
"Delbecque, Bernard",Bernard Delbecque,"['Delbecque, Bernard']"
Bernard Dumas,Bernard Dumas,"['Bernard Dumas', 'Dumas, B', 'Dumas, Bernard']"
Bernard E. Anderson,Bernard E. Anderson,"['Bernard E. Anderson', 'Anderson, Bernard E', 'Bernard Eric Anderson']"
"Elbaum, Bernard",Bernard Elbaum,"['Elbaum, Bernard']"
"Lentz, Bernard F",Bernard F Lentz,"['Lentz, Bernard F']"
"Feigenbaum, Bernard",Bernard Feigenbaum,"['Feigenbaum, Bernard']"
"Fortin, Bernard",Bernard Fortin,"['Fortin, Bernard', 'Bernard Fortin']"
"Friedman, Bernard",Bernard Friedman,"['Friedman, Bernard']"
"Gauthier, Bernard",Bernard Gauthier,"['Gauthier, Bernard']"
Bernard Goodman,Bernard Goodman,['Bernard Goodman']
"Booms, Bernard H",Bernard H Booms,"['Booms, Bernard H']"
"Herskovic, Bernard",Bernard Herskovic,"['Herskovic, Bernard']"
Bernard Karsh,Bernard Karsh,['Bernard Karsh']
"Lebrun, Bernard",Bernard Lebrun,"['Lebrun, Bernard']"
"Lenclud, Bernard",Bernard Lenclud,"['Lenclud, Bernard', 'Lenclud, B.']"
"Hoekman, Bernard M.",Bernard M. Hoekman,"['Hoekman, Bernard M.', 'Hoekman, Bernard M', 'Bernard Hoekman', 'Hoekman, Bernard']"
"Micha, Bernard",Bernard Micha,"['Micha, Bernard']"
"Monjardet, Bernard",Bernard Monjardet,"['Monjardet, Bernard']"
Bernard Moses,Bernard Moses,['Bernard Moses']
"Munk, Bernard",Bernard Munk,"['Munk, Bernard']"
